eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:00:00:00:00:03,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:05,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:0a,33:33:00:00:00:02,58,-1,1,1,0,70,70,0,0.1,7.0,70.0,0,1
02:81:ad:3c:c6:14,33:33:00:00:00:fb,17,-1,2,2,0,214,214,0,0.2,21.4,107.0,0,2
00:00:00:00:00:04,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:06,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,2054,-1,5,4,1,210,168,42,0.5,21.0,42.0,0.25,2
00:00:00:00:00:07,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:02,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:09,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:0c,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:02,00:00:00:00:00:01,6,2,48,48,0,2592,2592,0,4.8,259.2,54.0,0,48
00:00:00:00:00:0e,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:08,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:01,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:00:00:00:00:0d,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
02:81:ad:3c:c6:14,33:33:00:00:00:02,58,-1,1,1,0,70,70,0,0.1,7.0,70.0,0,1
00:00:00:00:00:0b,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
