eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
b8:ac:6f:36:0b:a8,18:66:da:9b:e3:7d,17,-1,20,10,10,2928,788,2140,2.0,292.8,146.4,2.71573604061,5
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,17,-1,4,2,2,656,264,392,0.4,65.6,164.0,1.48484848485,1
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,2,42,18,24,8245,2369,5876,4.2,824.5,196.30952381,2.48037146475,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,-1,38,21,17,2558,1405,1153,3.8,255.8,67.3157894737,0.820640569395,13
b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,1
70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,22,10,12,1394,600,794,2.2,139.4,63.3636363636,1.32333333333,4
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,10,5,5,1561,552,1009,1.0,156.1,156.1,1.82789855072,5
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,20,9,11,2605,1151,1454,2.0,260.5,130.25,1.26324934839,6
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,34,19,15,11289,3299,7990,3.4,1128.9,332.029411765,2.42194604426,3
b8:ac:6f:36:08:f5,00:19:b9:0a:69:f1,6,2,80,38,42,13802,4780,9022,8.0,1380.2,172.525,1.88744769874,1
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,17,-1,8,4,4,868,292,576,0.8,86.8,108.5,1.97260273973,2
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,255,120,135,37489,19353,18136,25.5,3748.9,147.015686275,0.937115692657,13.0
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,31183,18759,12424,19858753,1133458,18725295,3118.3,1985875.3,636.845492736,16.5205018624,6
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,4,2,2,396,158,238,0.4,39.6,99.0,1.50632911392,1
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,227,126,101,39432,17656,21776,22.7,3943.2,173.709251101,1.23334843679,41
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,20,11,9,1408,752,656,2.0,140.8,70.4,0.872340425532,3
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,0.0769230769231
