SrcMac,DstMac,SrcAddr,Sport,DstAddr,Dport,Proto,Mean,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Rate,State,Dur
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50805,8.41.222.241,443,6,4.393848,7,4,3,467,287,180,1.365546,sSEfF,4.393848
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50804,8.41.222.241,443,6,4.467945,7,4,3,467,287,180,1.342899,sSEfF,4.467945
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,38180,23.194.142.69,443,6,2.826644,7,4,3,518,289,229,2.122658,sSEfR,2.826644
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,38186,23.194.142.69,443,6,3.317301,7,4,3,518,289,229,1.808699,sSEfR,3.317301
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,60328,172.217.6.238,80,6,0.037001,2,1,1,132,66,66,27.026297,sSE,0.037001
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,54068,23.36.33.160,443,6,0.028569,2,1,1,132,66,66,35.002975,sSE,0.028569
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,34014,216.200.232.114,443,6,0.035290,2,1,1,132,66,66,28.336639,sSE,0.035290
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50780,162.248.16.50,443,6,0.086548,2,1,1,120,60,60,11.554282,sSE,0.086548
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50783,162.248.16.50,443,6,0.086578,2,1,1,120,60,60,11.550279,sSE,0.086578
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,34258,207.200.74.133,443,6,0.093413,2,1,1,120,60,60,10.705148,sSE,0.093413
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,60074,172.217.6.238,80,6,0.037098,2,1,1,132,66,66,26.955629,sSE,0.037098
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50795,152.163.56.2,443,6,0.028283,2,1,1,120,60,60,35.356930,sSE,0.028283
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50797,152.163.56.2,443,6,0.028469,2,1,1,120,60,60,35.125927,sSE,0.028469
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50707,74.119.118.72,443,6,0.023067,2,1,1,120,60,60,43.351974,sSE,0.023067
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50915,23.194.181.5,443,6,0.023064,2,1,1,126,60,66,43.357613,sSE,0.023064
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,36114,149.174.66.131,443,6,0.093795,2,1,1,120,60,60,10.661549,sSE,0.093795
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50942,52.84.143.110,80,6,0.022068,2,1,1,126,60,66,45.314484,sSE,0.022068
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50680,52.84.143.196,443,6,0.022072,2,1,1,126,60,66,45.306271,sSE,0.022072
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,192.168.10.15,49507,52.84.145.67,443,6,0.022199,2,1,1,126,60,66,45.047077,sSE,0.022199
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50672,72.21.91.29,80,6,0.023265,2,1,1,126,60,66,42.983021,sSE,0.023265
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,49136,216.58.219.228,443,6,0.078607,4,2,2,356,178,178,38.164539,sSE,0.078607
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,48990,172.217.10.226,443,6,0.082603,4,2,2,356,178,178,36.318295,sSE,0.082603
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,56524,72.30.2.182,443,6,0.066576,3,2,1,290,178,112,30.040857,sSE,0.066576
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,56632,54.192.37.90,443,6,0.070494,4,2,2,356,178,178,42.556812,sSE,0.070494
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,46112,172.217.12.162,443,6,0.078378,4,2,2,356,178,178,38.276047,sSE,0.078378
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,192.168.10.15,49506,172.217.6.238,80,6,0.036269,2,1,1,126,60,66,27.571754,sSE,0.036269
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,60256,23.194.182.12,443,6,0.023637,9,5,4,638,343,295,338.452423,sSEfFR,0.023637
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,192.168.10.3,,192.168.10.17,,2054,0.000008,4,2,2,240,120,120,375000.000000,CON,0.000008
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,192.168.10.51,46898,23.50.75.27,80,6,0.023217,2,1,1,132,66,66,43.071888,sSE,0.023217
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50989,50.115.208.113,443,6,0.087723,2,1,1,120,60,60,11.399519,sSE,0.087723
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49435,23.217.49.37,443,6,0.032977,2,1,1,126,60,66,30.324165,sSE,0.032977
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,38992,104.16.165.179,443,6,0.015209,2,1,1,120,60,60,65.750542,sSE,0.015209
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,,192.168.10.1,,2054,0.000413,2,1,1,120,60,60,2421.307617,CON,0.000413
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50718,52.84.145.242,443,6,0.022099,2,1,1,126,60,66,45.250916,sSE,0.022099
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50944,74.217.253.61,443,6,0.028755,2,1,1,126,60,66,34.776562,sSE,0.028755
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,57402,52.9.59.64,443,6,0.088590,5,3,2,361,198,163,45.151821,sSEfF,0.088590
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,57730,162.248.16.50,443,6,0.086517,2,1,1,120,60,60,11.558422,sSE,0.086517
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50938,192.132.33.27,443,6,0.034360,2,1,1,126,60,66,29.103609,sSE,0.034360
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49254,43.251.41.28,443,6,0.295271,4,2,2,1529,731,798,10.160157,E,0.295271
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,192.168.10.25,49330,206.126.112.155,80,6,0.016391,3,2,1,198,132,66,122.018181,sSEfF,0.016391
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,54112,23.36.33.160,443,6,0.028615,2,1,1,132,66,66,34.946705,sSE,0.028615
